N (ADC),1024,,Offset in EE,183,
Vref,5,,,,
,,,,,
Position in Memory,VADC,Resistance Thermistor,Lookup index,Value in Memory (dec),Value in Memory (hex)
,,,,,
19,0.986,2457.4,17,189,0xBC
20,0.991,2472.6,17,189,0xBC
21,0.996,2487.8,17,189,0xBC
22,1.001,2503.1,17,188,0xBC
23,1.006,2518.3,17,188,0xBC
24,1.011,2533.7,17,188,0xBC
25,1.016,2549.0,17,188,0xBB
26,1.021,2564.4,17,188,0xBB
27,1.025,2579.9,17,188,0xBB
28,1.030,2595.3,17,187,0xBB
29,1.035,2610.8,17,187,0xBB
30,1.040,2626.4,17,187,0xBB
31,1.045,2642.0,17,187,0xBA
32,1.050,2657.6,17,187,0xBA
33,1.055,2673.3,17,187,0xBA
34,1.060,2689.0,17,187,0xBA
35,1.064,2704.7,17,186,0xBA
36,1.069,2720.5,17,186,0xBA
37,1.074,2736.3,17,186,0xBA
38,1.079,2752.2,17,186,0xB9
39,1.084,2768.1,17,186,0xB9
40,1.089,2784.0,17,186,0xB9
41,1.094,2800.0,17,185,0xB9
42,1.099,2816.0,17,185,0xB9
43,1.104,2832.1,17,185,0xB9
44,1.108,2848.2,17,185,0xB8
45,1.113,2864.3,17,185,0xB8
46,1.118,2880.5,17,185,0xB8
47,1.123,2896.7,17,184,0xB8
48,1.128,2913.0,17,184,0xB8
49,1.133,2929.3,17,184,0xB8
50,1.138,2945.6,17,184,0xB7
51,1.143,2962.0,17,184,0xB7
52,1.147,2978.5,17,184,0xB7
53,1.152,2994.9,17,183,0xB7
54,1.157,3011.4,17,183,0xB7
55,1.162,3028.0,17,183,0xB7
56,1.167,3044.6,17,183,0xB6
57,1.172,3061.2,17,183,0xB6
58,1.177,3077.9,17,183,0xB6
59,1.182,3094.6,17,182,0xB6
60,1.187,3111.4,17,182,0xB6
61,1.191,3128.2,17,182,0xB6
62,1.196,3145.1,17,182,0xB5
63,1.201,3162.0,17,182,0xB5
64,1.206,3178.9,17,182,0xB5
65,1.211,3195.9,17,181,0xB5
66,1.216,3212.9,17,181,0xB5
67,1.221,3230.0,17,181,0xB5
68,1.226,3247.1,17,181,0xB4
69,1.230,3264.2,17,181,0xB4
70,1.235,3281.5,17,180,0xB4
71,1.240,3298.7,17,180,0xB4
72,1.245,3316.0,17,180,0xB4
73,1.250,3333.3,16,173,0xAD
74,1.255,3350.7,16,173,0xAD
75,1.260,3368.1,16,173,0xAD
76,1.265,3385.6,16,173,0xAC
77,1.270,3403.1,16,173,0xAC
78,1.274,3420.7,16,173,0xAC
79,1.279,3438.3,16,173,0xAC
80,1.284,3456.0,16,172,0xAC
81,1.289,3473.7,16,172,0xAC
82,1.294,3491.4,16,172,0xAC
83,1.299,3509.2,16,172,0xAC
84,1.304,3527.1,16,172,0xAB
85,1.309,3545.0,16,172,0xAB
86,1.313,3562.9,16,172,0xAB
87,1.318,3580.9,16,172,0xAB
88,1.323,3598.9,16,171,0xAB
89,1.328,3617.0,16,171,0xAB
90,1.333,3635.2,16,171,0xAB
91,1.338,3653.3,16,171,0xAB
92,1.343,3671.6,16,171,0xAA
93,1.348,3689.8,16,171,0xAA
94,1.353,3708.2,16,171,0xAA
95,1.357,3726.5,16,171,0xAA
96,1.362,3745.0,16,170,0xAA
97,1.367,3763.4,16,170,0xAA
98,1.372,3782.0,16,170,0xAA
99,1.377,3800.5,16,170,0xAA
100,1.382,3819.2,16,170,0xA9
101,1.387,3837.8,16,170,0xA9
102,1.392,3856.6,16,170,0xA9
103,1.396,3875.3,16,170,0xA9
104,1.401,3894.2,16,169,0xA9
105,1.406,3913.0,16,169,0xA9
106,1.411,3932.0,16,169,0xA9
107,1.416,3951.0,16,169,0xA9
108,1.421,3970.0,16,169,0xA8
109,1.426,3989.1,16,169,0xA8
110,1.431,4008.2,16,169,0xA8
111,1.436,4027.4,16,169,0xA8
112,1.440,4046.6,16,168,0xA8
113,1.445,4065.9,16,168,0xA8
114,1.450,4085.3,16,168,0xA8
115,1.455,4104.7,16,168,0xA8
116,1.460,4124.1,16,168,0xA7
117,1.465,4143.6,16,168,0xA7
118,1.470,4163.2,16,168,0xA7
119,1.475,4182.8,16,168,0xA7
120,1.479,4202.5,16,167,0xA7
121,1.484,4222.2,16,167,0xA7
122,1.489,4242.0,16,167,0xA7
123,1.494,4261.8,16,167,0xA6
124,1.499,4281.7,16,167,0xA6
125,1.504,4301.7,16,167,0xA6
